dataset_name,downscaling_factor,yarin_gal_uci_split_indices,max_dataset_size,standardize,select_timesteps,temporal_downscaling_factor,validation_ratio,model,uncertainty_quantification,report_every,seed,distributed_training,backbone,batch_size,batch_accumulation,eval_batch_size,n_epochs,early_stopping,init,learning_rate,warmup_lr,lr_schedule,optimizer,gradient_clipping,alpha,n_samples_uq,weight_decay,n_val_samples,data_loader_pin_memory,dropout,hidden_dim,n_layers,n_timesteps,beta_endpoints,distributional_method,loss,closed_form,concat_condition_diffusion,evaluate,val_only,x_T_sampling_method,conditional_free_guidance_training,ddim_churn,noise_schedule,regressor,tau,n_ndp_heads,n_components,gamma,rank,mvnormal_method,n_train_samples,loss_lambda,noise_dim,metrics_plots,filename_to_validate,t_training,MSEValidation,RMSEValidation,EnergyScoreValidation,CRPSValidation,Gaussian NLLValidation,C95Validation,C90Validation,C75Validation,C50Validation,MSETest,RMSETest,EnergyScoreTest,CRPSTest,Gaussian NLLTest,C95Test,C90Test,C75Test,C50Test,experiment,source_file,method,run_id,dataset,NumberParameters,t_training_avg,t_training_med,t_training_std,MSETrain,RMSETrain,EnergyScoreTrain,CRPSTrain,Gaussian NLLTrain,C95Train,C90Train,C75Train,C50Train,CoverageTrain,QICETrain,CoverageTest,QICETest
concrete,1,4,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",deterministic,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1112.791,,,,,,,,,,38.9557495,6.2414541,3.3982041,3.3874085,18.5510921,0.5631068,0.5145631,0.3592233,0.223301,UCI,UCI/concrete/20260414_155605_concrete/test.csv,deterministic,4,concrete,418945.0,0.0994557,0.0989681,0.0020189,7.5206528,2.7423809,1.2969397,1.2870909,2.3742175,0.8101402,0.7486516,0.5717368,0.3549083,,,,
concrete,1,4,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",normal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1376.015,,,,,,,,,,38.0612335,6.1693787,3.2406433,3.2274315,10.2960091,0.6990291,0.6504855,0.4951456,0.3009709,UCI,UCI/concrete/20260414_155605_concrete/test.csv,normal,4,concrete,419203.0,0.1424273,0.1420792,0.0037997,5.850132,2.4187046,1.0674253,1.0552855,1.910423,0.9546925,0.9298813,0.8241639,0.557713,,,,
concrete,1,4,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",sample,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1335.731,,,,,,,,,,37.4838638,6.1224067,3.2122006,3.1981044,8.1169634,0.7378641,0.6990291,0.4854369,0.3106796,UCI,UCI/concrete/20260414_155605_concrete/test.csv,sample,4,concrete,419073.0,0.1346277,0.1341063,0.0038331,7.6311255,2.7624492,1.3141541,1.3009861,2.1954565,0.9439051,0.9039913,0.7864077,0.5329018,,,,
concrete,1,4,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",mixednormal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1817.216,,,,,,,,,,37.3332558,6.1100946,3.1261425,3.116106,10.0838318,0.6407767,0.5825243,0.3980583,0.1941748,UCI,UCI/concrete/20260414_155605_concrete/test.csv,mixednormal,4,concrete,519563.0,0.2292637,0.2290118,0.0030445,3.6243384,1.9037695,0.7661786,0.758093,1.5967586,0.94822,0.9158576,0.7734628,0.5382956,,,,
concrete,1,5,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",deterministic,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1121.534,,,,,,,,,,16.7378864,4.0911962,2.1299,2.1207063,5.7375436,0.631068,0.5436893,0.446602,0.2815534,UCI,UCI/concrete/20260414_155605_concrete/test.csv,deterministic,5,concrete,418945.0,0.0994625,0.0991231,0.0018521,6.1263175,2.4751399,1.2074752,1.1987364,2.2081439,0.789644,0.7249191,0.5620281,0.3408846,,,,
concrete,1,5,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",normal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1383.141,,,,,,,,,,14.0688725,3.7508496,1.922227,1.9126014,4.1990333,0.7378641,0.6601942,0.5242718,0.3203883,UCI,UCI/concrete/20260414_155605_concrete/test.csv,normal,5,concrete,419203.0,0.1429689,0.1422085,0.0053699,5.4123936,2.3264552,1.0457784,1.0363746,1.9309542,0.9126213,0.8748651,0.7216828,0.4649406,,,,
concrete,1,5,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",sample,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1351.939,,,,,,,,,,16.027029,4.0033772,2.0548234,2.0432973,3.8987007,0.7669903,0.6990291,0.5728155,0.3980583,UCI,UCI/concrete/20260414_155605_concrete/test.csv,sample,5,concrete,419073.0,0.1355005,0.1342211,0.0057186,5.8735847,2.423548,1.1602918,1.1487336,2.0751133,0.9363538,0.8921251,0.776699,0.5188781,,,,
concrete,1,5,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",mixednormal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1810.301,,,,,,,,,,17.4844551,4.1814417,1.9080158,1.8971522,4.5238533,0.7378641,0.6601942,0.5242718,0.3495146,UCI,UCI/concrete/20260414_155605_concrete/test.csv,mixednormal,5,concrete,519563.0,0.2293239,0.2282196,0.0071957,4.2226963,2.05492,0.90037,0.8909516,1.783113,0.9514562,0.9029126,0.7626753,0.531823,,,,
concrete,1,6,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",deterministic,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1133.624,,,,,,,,,,26.3181057,5.1301175,2.5967026,2.5873573,22.1210423,0.6019418,0.5339806,0.3786408,0.2524272,UCI,UCI/concrete/20260414_155605_concrete/test.csv,deterministic,6,concrete,418945.0,0.102286,0.102909,0.0030692,7.3684187,2.7144831,1.275314,1.2659892,2.713716,0.8058252,0.742179,0.5436893,0.3344121,,,,
concrete,1,6,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",normal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1384.85,,,,,,,,,,21.5227013,4.6392565,2.3596961,2.3492434,5.0422592,0.7281554,0.6407767,0.5242718,0.2912621,UCI,UCI/concrete/20260414_155605_concrete/test.csv,normal,6,concrete,419203.0,0.1436647,0.1428915,0.0051727,6.0201569,2.4536008,1.0857984,1.075132,1.9924201,0.9417475,0.8942826,0.7745415,0.5512406,,,,
